"city","state_id","state_name","county_fips","county_name","lat","lng"
"Prosper","TX","Texas",48085,"Collin",33.2394,-96.8087
"Eagle Pass","TX","Texas",48323,"Maverick",28.7125,-100.484
"Greenville","TX","Texas",48231,"Hunt",33.1116,-96.1099
"Balch Springs","TX","Texas",48113,"Dallas",32.7194,-96.6151
"Converse","TX","Texas",48029,"Bexar",29.5091,-98.3084
"Alvin","TX","Texas",48039,"Brazoria",29.3872,-95.2938
"Hutto","TX","Texas",48491,"Williamson",30.5396,-97.544
"Sachse","TX","Texas",48113,"Dallas",32.9726,-96.5793
"Big Spring","TX","Texas",48227,"Howard",32.2389,-101.4799
"Colleyville","TX","Texas",48439,"Tarrant",32.8913,-97.1486
"Cloverleaf","TX","Texas",48201,"Harris",29.7882,-95.1724
"Kingsville","TX","Texas",48273,"Kleberg",27.5094,-97.861
"University Park","TX","Texas",48113,"Dallas",32.8506,-96.7937
"San Benito","TX","Texas",48061,"Cameron",26.1298,-97.644
"Fort Hood","TX","Texas",48099,"Coryell",31.1357,-97.7834
"Corsicana","TX","Texas",48349,"Navarro",32.0824,-96.4665
"Paris","TX","Texas",48277,"Lamar",33.6688,-95.546
"Denison","TX","Texas",48181,"Grayson",33.7672,-96.5808
"Benbrook","TX","Texas",48439,"Tarrant",32.6788,-97.4637
"Kerrville","TX","Texas",48265,"Kerr",30.0398,-99.132
"Fresno","TX","Texas",48157,"Fort Bend",29.5357,-95.4696
"Saginaw","TX","Texas",48439,"Tarrant",32.8657,-97.3654
"Watauga","TX","Texas",48439,"Tarrant",32.8719,-97.2515
"Brushy Creek","TX","Texas",48491,"Williamson",30.5128,-97.7386
"Belton","TX","Texas",48027,"Bell",31.0525,-97.479
"Marshall","TX","Texas",48203,"Harrison",32.537,-94.3515
"Forney","TX","Texas",48257,"Kaufman",32.744,-96.4529
"Corinth","TX","Texas",48121,"Denton",33.1434,-97.0682
"Horizon City","TX","Texas",48141,"El Paso",31.6799,-106.1903
"Katy","TX","Texas",48201,"Harris",29.7905,-95.8353
"Dickinson","TX","Texas",48167,"Galveston",29.4548,-95.0589
"Murphy","TX","Texas",48085,"Collin",33.0186,-96.6105
"Stephenville","TX","Texas",48143,"Erath",32.2147,-98.2205
"Plainview","TX","Texas",48189,"Hale",34.1911,-101.7235
"Pecan Grove","TX","Texas",48157,"Fort Bend",29.6235,-95.733
"Ennis","TX","Texas",48139,"Ellis",32.3254,-96.6347
"Portland","TX","Texas",48409,"San Patricio",27.8942,-97.3278
"Universal City","TX","Texas",48029,"Bexar",29.5521,-98.3074
"Alamo","TX","Texas",48215,"Hidalgo",26.181,-98.1177
"Angleton","TX","Texas",48039,"Brazoria",29.1721,-95.4293
"Orange","TX","Texas",48361,"Orange",30.1226,-93.7607
"Brownwood","TX","Texas",48049,"Brown",31.7127,-98.9767
"Palestine","TX","Texas",48001,"Anderson",31.7544,-95.6471
"Nederland","TX","Texas",48245,"Jefferson",29.9707,-94.0015
"Lakeway","TX","Texas",48453,"Travis",30.3544,-97.9864
"Cinco Ranch","TX","Texas",48157,"Fort Bend",29.7395,-95.7607
"Seagoville","TX","Texas",48113,"Dallas",32.653,-96.5456
"Steiner Ranch","TX","Texas",48453,"Travis",30.3654,-97.896
"La Marque","TX","Texas",48167,"Galveston",29.3683,-94.9941
"White Settlement","TX","Texas",48439,"Tarrant",32.7554,-97.4605
"Alice","TX","Texas",48249,"Jim Wells",27.7556,-98.0653
"Alton","TX","Texas",48215,"Hidalgo",26.2884,-98.3098
"Crowley","TX","Texas",48439,"Tarrant",32.5781,-97.3585
"Bay City","TX","Texas",48321,"Matagorda",28.9838,-95.9601
"Fate","TX","Texas",48397,"Rockwall",32.943,-96.3858
"Brenham","TX","Texas",48477,"Washington",30.1584,-96.3966
"Boerne","TX","Texas",48259,"Kendall",29.7847,-98.7292
"Bellaire","TX","Texas",48201,"Harris",29.704,-95.4621
"Fulshear","TX","Texas",48157,"Fort Bend",29.693,-95.8804
"Stafford","TX","Texas",48157,"Fort Bend",29.6271,-95.5654
"Gainesville","TX","Texas",48097,"Cooke",33.639,-97.1487
"Terrell","TX","Texas",48257,"Kaufman",32.734,-96.2931
"Groves","TX","Texas",48245,"Jefferson",29.9457,-93.9164
"Pampa","TX","Texas",48179,"Gray",35.5479,-100.9651
"Anna","TX","Texas",48085,"Collin",33.3472,-96.5508
"Donna","TX","Texas",48215,"Hidalgo",26.1468,-98.0559
"Princeton","TX","Texas",48085,"Collin",33.1778,-96.5044
"Humble","TX","Texas",48201,"Harris",29.9921,-95.2655
"Celina","TX","Texas",48085,"Collin",33.3154,-96.7941
"Addison","TX","Texas",48113,"Dallas",32.959,-96.8355
"South Houston","TX","Texas",48201,"Harris",29.6611,-95.2285
"Mercedes","TX","Texas",48215,"Hidalgo",26.1533,-97.9128
"Taylor","TX","Texas",48491,"Williamson",30.5729,-97.4268
"Mount Pleasant","TX","Texas",48449,"Titus",33.1586,-94.9727
"Gatesville","TX","Texas",48099,"Coryell",31.4445,-97.7317
"Aldine","TX","Texas",48201,"Harris",29.9123,-95.3784
"Sulphur Springs","TX","Texas",48223,"Hopkins",33.1421,-95.6122
"Highland Village","TX","Texas",48121,"Denton",33.0897,-97.0615
"Glenn Heights","TX","Texas",48113,"Dallas",32.5506,-96.8548
"Hewitt","TX","Texas",48309,"McLennan",31.452,-97.196
"Live Oak","TX","Texas",48029,"Bexar",29.5545,-98.3404
"Rio Grande City","TX","Texas",48427,"Starr",26.3808,-98.8215
"Uvalde","TX","Texas",48463,"Uvalde",29.2152,-99.7782
"Hereford","TX","Texas",48117,"Deaf Smith",34.8225,-102.4001
"West University Place","TX","Texas",48201,"Harris",29.7157,-95.4321
"Mineral Wells","TX","Texas",48363,"Palo Pinto",32.8169,-98.0776
"Canyon","TX","Texas",48381,"Randall",34.9911,-101.919
"Palmview","TX","Texas",48215,"Hidalgo",26.2318,-98.3823
"Rendon","TX","Texas",48439,"Tarrant",32.5789,-97.2349
"Dumas","TX","Texas",48341,"Moore",35.8613,-101.9642
"Lockhart","TX","Texas",48055,"Caldwell",29.8785,-97.6831
"Buda","TX","Texas",48209,"Hays",30.0758,-97.8487
"Fort Bliss","TX","Texas",48141,"El Paso",31.8396,-106.3747
"Jacksonville","TX","Texas",48073,"Cherokee",31.9642,-95.2617
"Red Oak","TX","Texas",48139,"Ellis",32.5212,-96.7866
"Hidalgo","TX","Texas",48215,"Hidalgo",26.109,-98.2464
"Manor","TX","Texas",48453,"Travis",30.3562,-97.5227
"Wells Branch","TX","Texas",48453,"Travis",30.4433,-97.679
"Forest Hill","TX","Texas",48439,"Tarrant",32.6619,-97.2662
"Beeville","TX","Texas",48025,"Bee",28.4053,-97.749
"Melissa","TX","Texas",48085,"Collin",33.2891,-96.5573
"Port Neches","TX","Texas",48245,"Jefferson",29.9765,-93.9459
"Royse City","TX","Texas",48397,"Rockwall",32.9762,-96.3175
"Henderson","TX","Texas",48401,"Rusk",32.1576,-94.796
"Seabrook","TX","Texas",48201,"Harris",29.5751,-95.0235
"Lumberton","TX","Texas",48199,"Hardin",30.2562,-94.207
"Kilgore","TX","Texas",48183,"Gregg",32.398,-94.8602
"Andrews","TX","Texas",48003,"Andrews",32.3207,-102.552
"Azle","TX","Texas",48439,"Tarrant",32.8955,-97.5379
"Levelland","TX","Texas",48219,"Hockley",33.5806,-102.3635
"Santa Fe","TX","Texas",48167,"Galveston",29.3889,-95.1003
"Athens","TX","Texas",48213,"Henderson",32.2041,-95.8321
"Trophy Club","TX","Texas",48121,"Denton",33.004,-97.1899
"Borger","TX","Texas",48233,"Hutchinson",35.6598,-101.4012
"Pecos","TX","Texas",48389,"Reeves",31.3971,-103.5201
"Robinson","TX","Texas",48309,"McLennan",31.4501,-97.1201
"Tomball","TX","Texas",48201,"Harris",30.0951,-95.6194
"Webster","TX","Texas",48201,"Harris",29.5317,-95.1188
"El Campo","TX","Texas",48481,"Wharton",29.2,-96.2723
"La Homa","TX","Texas",48215,"Hidalgo",26.2796,-98.3575
"Richmond","TX","Texas",48157,"Fort Bend",29.5824,-95.7563
"Port Lavaca","TX","Texas",48057,"Calhoun",28.6181,-96.6278
"Lantana","TX","Texas",48121,"Denton",33.0926,-97.1214
"Leon Valley","TX","Texas",48029,"Bexar",29.4954,-98.6143
"Roma","TX","Texas",48427,"Starr",26.4166,-99.0061
"Snyder","TX","Texas",48415,"Scurry",32.7133,-100.9116
"Four Corners","TX","Texas",48157,"Fort Bend",29.6705,-95.6596
"Fredericksburg","TX","Texas",48171,"Gillespie",30.266,-98.8751
"Freeport","TX","Texas",48039,"Brazoria",28.9453,-95.3601
"Burkburnett","TX","Texas",48485,"Wichita",34.0746,-98.5672
"Galena Park","TX","Texas",48201,"Harris",29.7452,-95.2333
"Clute","TX","Texas",48039,"Brazoria",29.0256,-95.3975
"Sweetwater","TX","Texas",48353,"Nolan",32.4692,-100.4092
"Selma","TX","Texas",48029,"Bexar",29.5866,-98.3132
"Raymondville","TX","Texas",48489,"Willacy",26.4759,-97.7769
"Bacliff","TX","Texas",48167,"Galveston",29.5085,-94.9888
"Pleasanton","TX","Texas",48013,"Atascosa",28.9642,-98.4957
"Bellmead","TX","Texas",48309,"McLennan",31.6026,-97.0897
"Granbury","TX","Texas",48221,"Hood",32.4475,-97.7702
"Robstown","TX","Texas",48355,"Nueces",27.794,-97.6692
"Bonham","TX","Texas",48147,"Fannin",33.588,-96.1901
"Rockport","TX","Texas",48007,"Aransas",28.029,-97.0722
"Vernon","TX","Texas",48487,"Wilbarger",34.1479,-99.3
"Manvel","TX","Texas",48039,"Brazoria",29.4798,-95.3635
"Fairview","TX","Texas",48085,"Collin",33.1399,-96.6117
"San Elizario","TX","Texas",48141,"El Paso",31.5793,-106.2632
"Fair Oaks Ranch","TX","Texas",48029,"Bexar",29.7467,-98.6376
"Vidor","TX","Texas",48361,"Orange",30.1291,-93.9967
"Hornsby Bend","TX","Texas",48453,"Travis",30.2388,-97.5899
"Eidson Road","TX","Texas",48323,"Maverick",28.6677,-100.4788
"Jacinto City","TX","Texas",48201,"Harris",29.7663,-95.241
"Ingleside","TX","Texas",48409,"San Patricio",27.8703,-97.2075
"Bastrop","TX","Texas",48021,"Bastrop",30.1113,-97.3176
"Elgin","TX","Texas",48021,"Bastrop",30.3526,-97.3883
"Bridge City","TX","Texas",48361,"Orange",30.0298,-93.8406
"Heath","TX","Texas",48397,"Rockwall",32.8439,-96.4674
"Woodway","TX","Texas",48309,"McLennan",31.4988,-97.2314
"Roanoke","TX","Texas",48121,"Denton",33.0144,-97.2276
"Scenic Oaks","TX","Texas",48029,"Bexar",29.7038,-98.6712
"Aransas Pass","TX","Texas",48355,"Nueces",27.8876,-97.1136
"Brownfield","TX","Texas",48445,"Terry",33.1757,-102.273
"Murillo","TX","Texas",48215,"Hidalgo",26.2642,-98.1233
"Helotes","TX","Texas",48029,"Bexar",29.5687,-98.696
"Highland Park","TX","Texas",48113,"Dallas",32.8311,-96.8012
"Perryton","TX","Texas",48357,"Ochiltree",36.3928,-100.7976
"Lago Vista","TX","Texas",48453,"Travis",30.4519,-97.9908
"Sanger","TX","Texas",48121,"Denton",33.3715,-97.1678
"Graham","TX","Texas",48503,"Young",33.1017,-98.5779
"Lamesa","TX","Texas",48115,"Dawson",32.7333,-101.9541
"Commerce","TX","Texas",48231,"Hunt",33.2421,-95.8992
"Wharton","TX","Texas",48481,"Wharton",29.3177,-96.1022
"Dayton","TX","Texas",48291,"Liberty",30.0315,-94.9158
"Bee Cave","TX","Texas",48453,"Travis",30.3084,-97.9629
"Richland Hills","TX","Texas",48439,"Tarrant",32.8095,-97.2273
"Fort Stockton","TX","Texas",48371,"Pecos",30.8926,-102.8842
"Dalhart","TX","Texas",48111,"Dallam",36.058,-102.5123
"Kennedale","TX","Texas",48439,"Tarrant",32.6434,-97.2172
"Hondo","TX","Texas",48325,"Medina",29.3531,-99.1616
"Whitehouse","TX","Texas",48423,"Smith",32.2222,-95.221
"Liberty","TX","Texas",48291,"Liberty",30.0378,-94.7879
"Travis Ranch","TX","Texas",48257,"Kaufman",32.8015,-96.4775
"Cuero","TX","Texas",48123,"DeWitt",29.1023,-97.2871
"Hillsboro","TX","Texas",48217,"Hill",32.0093,-97.115
"Iowa Colony","TX","Texas",48039,"Brazoria",29.4407,-95.4206
"Kirby","TX","Texas",48029,"Bexar",29.4614,-98.3855
"Los Fresnos","TX","Texas",48061,"Cameron",26.075,-97.4875
"Homestead Meadows South","TX","Texas",48141,"El Paso",31.811,-106.1643
"Jersey Village","TX","Texas",48201,"Harris",29.8903,-95.5721
"Paloma Creek South","TX","Texas",48121,"Denton",33.21,-96.9325
"Pearsall","TX","Texas",48163,"Frio",28.8915,-99.0975
"Belterra","TX","Texas",48209,"Hays",30.1885,-97.9845
"Joshua","TX","Texas",48251,"Johnson",32.458,-97.3849
"Highlands","TX","Texas",48201,"Harris",29.813,-95.0577
"Sunnyvale","TX","Texas",48113,"Dallas",32.7974,-96.5577
"River Oaks","TX","Texas",48439,"Tarrant",32.7767,-97.3985
"Monahans","TX","Texas",48475,"Ward",31.6289,-103.0403
"Navasota","TX","Texas",48185,"Grimes",30.3873,-96.0901
"Lake Dallas","TX","Texas",48121,"Denton",33.1279,-97.0234
"Cleveland","TX","Texas",48291,"Liberty",30.3381,-95.0908
"Lucas","TX","Texas",48085,"Collin",33.0942,-96.5797
"Lackland AFB","TX","Texas",48029,"Bexar",29.3866,-98.6179
"Alamo Heights","TX","Texas",48029,"Bexar",29.4828,-98.4682
"Providence Village","TX","Texas",48121,"Denton",33.238,-96.9583
"Hitchcock","TX","Texas",48167,"Galveston",29.2949,-95.03
"Mont Belvieu","TX","Texas",48071,"Chambers",29.8518,-94.8775
"West Livingston","TX","Texas",48373,"Polk",30.6957,-95.0097
"Lampasas","TX","Texas",48281,"Lampasas",31.064,-98.1824
"Olivarez","TX","Texas",48215,"Hidalgo",26.2285,-97.9931
"Floresville","TX","Texas",48493,"Wilson",29.1451,-98.1651
"Gonzales","TX","Texas",48177,"Gonzales",29.5126,-97.4472
"Heartland","TX","Texas",48257,"Kaufman",32.6748,-96.4515
"Jasper","TX","Texas",48241,"Jasper",30.9221,-93.9947
"Mila Doce","TX","Texas",48215,"Hidalgo",26.223,-97.9601
"Lacy-Lakeview","TX","Texas",48309,"McLennan",31.6292,-97.1052
"Mexia","TX","Texas",48293,"Limestone",31.6809,-96.4833
"Kingsland","TX","Texas",48299,"Llano",30.6651,-98.4545
"Seminole","TX","Texas",48165,"Gaines",32.7207,-102.6501
"Camp Swift","TX","Texas",48021,"Bastrop",30.1885,-97.2933
"La Feria","TX","Texas",48061,"Cameron",26.1544,-97.8255
"Marble Falls","TX","Texas",48053,"Burnet",30.5649,-98.2768
"Silsbee","TX","Texas",48199,"Hardin",30.3456,-94.1764
"Kaufman","TX","Texas",48257,"Kaufman",32.5766,-96.3158
"Sealy","TX","Texas",48015,"Austin",29.7662,-96.163
"Sonterra","TX","Texas",48491,"Williamson",30.8079,-97.5952
"Pecan Plantation","TX","Texas",48221,"Hood",32.3628,-97.6553
"Savannah","TX","Texas",48121,"Denton",33.2257,-96.9081
"Decatur","TX","Texas",48497,"Wise",33.2263,-97.5875
"Homestead Meadows North","TX","Texas",48141,"El Paso",31.8483,-106.1707
"Carthage","TX","Texas",48365,"Panola",32.1526,-94.3368
"Crystal City","TX","Texas",48507,"Zavala",28.6908,-99.8258
"Iowa Park","TX","Texas",48485,"Wichita",33.9622,-98.6819
"Prairie View","TX","Texas",48473,"Waller",30.0847,-95.9892
"Crockett","TX","Texas",48225,"Houston",31.3177,-95.4564
"Willis","TX","Texas",48339,"Montgomery",30.4314,-95.4831
"Burnet","TX","Texas",48053,"Burnet",30.7496,-98.2383
"Canutillo","TX","Texas",48141,"El Paso",31.9185,-106.6006
"Keene","TX","Texas",48251,"Johnson",32.3955,-97.3226
"Doolittle","TX","Texas",48215,"Hidalgo",26.3597,-98.1167
"White Oak","TX","Texas",48183,"Gregg",32.5312,-94.8564
"Penitas","TX","Texas",48215,"Hidalgo",26.2577,-98.4407
"Gladewater","TX","Texas",48183,"Gregg",32.5426,-94.9465
"Gun Barrel City","TX","Texas",48213,"Henderson",32.3277,-96.1286
"Everman","TX","Texas",48439,"Tarrant",32.6296,-97.2827
"Kermit","TX","Texas",48495,"Winkler",31.854,-103.0924
"Lindale","TX","Texas",48423,"Smith",32.4933,-95.4069
"Littlefield","TX","Texas",48279,"Lamb",33.9192,-102.3348
"Wake Village","TX","Texas",48037,"Bowie",33.4238,-94.127
"Edna","TX","Texas",48239,"Jackson",28.9757,-96.6483
"Slaton","TX","Texas",48303,"Lubbock",33.4421,-101.6476
"Alpine","TX","Texas",48043,"Brewster",30.364,-103.665
"Windcrest","TX","Texas",48029,"Bexar",29.515,-98.3818
"Nolanville","TX","Texas",48027,"Bell",31.0754,-97.609
"Yoakum","TX","Texas",48285,"Lavaca",29.2934,-97.1468
"Elsa","TX","Texas",48215,"Hidalgo",26.2978,-97.9936
"Muleshoe","TX","Texas",48017,"Bailey",34.2292,-102.7284
"Bridgeport","TX","Texas",48497,"Wise",33.21,-97.7708
"Childress","TX","Texas",48075,"Childress",34.4293,-100.2516
"Hempstead","TX","Texas",48473,"Waller",30.1006,-96.0777
"Briar","TX","Texas",48497,"Wise",32.9882,-97.5526
"Hutchins","TX","Texas",48113,"Dallas",32.6421,-96.7093
"Livingston","TX","Texas",48373,"Polk",30.71,-94.9381
"Bulverde","TX","Texas",48091,"Comal",29.7744,-98.4364
"Sinton","TX","Texas",48409,"San Patricio",28.0392,-97.5153
"Marlin","TX","Texas",48145,"Falls",31.3085,-96.8934
"Rusk","TX","Texas",48073,"Cherokee",31.7978,-95.1489
"Lakehills","TX","Texas",48019,"Bandera",29.6237,-98.9448
"Cameron Park","TX","Texas",48061,"Cameron",25.9706,-97.4775
"Fabens","TX","Texas",48141,"El Paso",31.5136,-106.1521
"Wolfforth","TX","Texas",48303,"Lubbock",33.5147,-102.0067
"Salida del Sol Estates","TX","Texas",48215,"Hidalgo",26.3257,-98.4469
"Krum","TX","Texas",48121,"Denton",33.2655,-97.2252
"Atlanta","TX","Texas",48067,"Cass",33.1136,-94.1672
"Luling","TX","Texas",48055,"Caldwell",29.6814,-97.6468
"Doffing","TX","Texas",48215,"Hidalgo",26.2788,-98.3856
"Rockdale","TX","Texas",48331,"Milam",30.6543,-97.0089
"Sansom Park","TX","Texas",48439,"Tarrant",32.8027,-97.4021
"Bowie","TX","Texas",48337,"Montague",33.5566,-97.844
"Parker","TX","Texas",48085,"Collin",33.0571,-96.6244
"Cameron","TX","Texas",48331,"Milam",30.8608,-96.9763
"McGregor","TX","Texas",48309,"McLennan",31.4186,-97.4283
"Northlake","TX","Texas",48121,"Denton",33.0809,-97.2548
"Breckenridge","TX","Texas",48429,"Stephens",32.7566,-98.9125
"Aubrey","TX","Texas",48121,"Denton",33.2874,-96.9622
"Port Isabel","TX","Texas",48061,"Cameron",26.054,-97.2505
"Center","TX","Texas",48419,"Shelby",31.793,-94.1795
"Nassau Bay","TX","Texas",48201,"Harris",29.5448,-95.0865
"Brookshire","TX","Texas",48473,"Waller",29.7824,-95.9514
"Sparks","TX","Texas",48141,"El Paso",31.6727,-106.2399
"Primera","TX","Texas",48061,"Cameron",26.2237,-97.7529
"San Leon","TX","Texas",48167,"Galveston",29.4902,-94.9405
"Brady","TX","Texas",48307,"McCulloch",31.1322,-99.37
"Granite Shoals","TX","Texas",48053,"Burnet",30.5894,-98.3671
"Wilmer","TX","Texas",48113,"Dallas",32.5983,-96.6815
"Terrell Hills","TX","Texas",48029,"Bexar",29.4771,-98.4472
"Carrizo Springs","TX","Texas",48127,"Dimmit",28.5267,-99.8589
"Medina","TX","Texas",48505,"Zapata",26.9289,-99.2614
"Giddings","TX","Texas",48287,"Lee",30.1833,-96.9279
"Sandy Oaks","TX","Texas",48029,"Bexar",29.1821,-98.4081
"Progreso","TX","Texas",48215,"Hidalgo",26.0962,-97.9566
"Zapata","TX","Texas",48505,"Zapata",26.9026,-99.2612
